t,raw_dt,draw_dt,sim_before,sim_after,advance,acc_after
1790366160.201,0.0360,0.0360,14.7000,14.7500,0.0500,0.0000
1790366160.238,0.0460,0.0460,14.7500,14.7833,0.0333,0.0127
1790366160.276,0.0370,0.0370,14.7833,14.8167,0.0333,0.0163
1790366160.322,0.0380,0.0380,14.8167,14.8667,0.0500,0.0043
1790366160.368,0.0460,0.0460,14.8667,14.9167,0.0500,0.0003
1790366160.405,0.0460,0.0460,14.9167,14.9500,0.0333,0.0130
1790366160.449,0.0370,0.0370,14.9500,15.0000,0.0500,0.0000
1790366160.486,0.0440,0.0440,15.0000,15.0333,0.0333,0.0107
1790366160.523,0.0370,0.0370,15.0333,15.0667,0.0333,0.0143
1790366160.573,0.0380,0.0380,15.0667,15.1167,0.0500,0.0023
1790366160.620,0.0480,0.0480,15.1167,15.1667,0.0500,0.0003
1790366160.659,0.0470,0.0470,15.1667,15.2000,0.0333,0.0140
1790366160.707,0.0390,0.0390,15.2000,15.2500,0.0500,0.0030
1790366160.752,0.0480,0.0480,15.2500,15.3000,0.0500,0.0010
1790366160.788,0.0450,0.0450,15.3000,15.3333,0.0333,0.0127
1790366160.827,0.0370,0.0370,15.3333,15.3667,0.0333,0.0163
1790366160.874,0.0380,0.0380,15.3667,15.4167,0.0500,0.0043
1790366160.922,0.0470,0.0470,15.4167,15.4667,0.0500,0.0013
1790366160.960,0.0480,0.0480,15.4667,15.5000,0.0333,0.0160
1790366161.008,0.0380,0.0380,15.5000,15.5500,0.0500,0.0040
1790366161.055,0.0480,0.0480,15.5500,15.6000,0.0500,0.0020
1790366161.104,0.0480,0.0480,15.6000,15.6500,0.0500,0.0000
1790366161.154,0.0510,0.0500,15.6500,15.7000,0.0500,0.0010
1790366161.191,0.0480,0.0480,15.7000,15.7333,0.0333,0.0157
1790366161.237,0.0380,0.0380,15.7333,15.7833,0.0500,0.0037
1790366161.274,0.0460,0.0460,15.7833,15.8167,0.0333,0.0163
1790366161.321,0.0370,0.0370,15.8167,15.8667,0.0500,0.0033
1790366161.369,0.0470,0.0470,15.8667,15.9167,0.0500,0.0003
1790366161.406,0.0470,0.0470,15.9167,15.9500,0.0333,0.0140
1790366161.451,0.0370,0.0370,15.9500,16.0000,0.0500,0.0010
1790366161.488,0.0460,0.0460,16.0000,16.0333,0.0333,0.0137
1790366161.525,0.0360,0.0360,16.0333,16.0667,0.0333,0.0163
